name,rating,transactions,price,label
Round Table Pizza,3,[],2,NEGATIF
Texas Cattle Company,3.5,"['delivery', 'pickup']",2,POSITIF
Maribel's Cake's & Bakery,4,[],1,POSITIF
Sammy's Restaurant,4.5,['delivery'],1,POSITIF
Lancaster Pupusas Food Truck,5,[],0,POSITIF
Birria Superior,4,[],0,POSITIF
Hot off the Grill,3,"['pickup', 'delivery']",0,NEGATIF
Trinistyle Cuisine,2.5,[],0,NEGATIF
Tacos De Barbacoa Castellon,5,[],1,POSITIF
Subway,2,[],1,NEGATIF
Patty's Cafe,4.5,[],1,POSITIF
Red Salmon,3.5,['delivery'],2,POSITIF
The Third Place,4.5,[],2,POSITIF
Del Taco,2,['delivery'],1,NEGATIF
Plenty Of Fish Seafood,4,"['delivery', 'pickup']",0,POSITIF
Taco Bell,2,['delivery'],1,NEGATIF
Spicy Thai,4,['delivery'],1,POSITIF
AV Bakery Express Cafe,4,['delivery'],2,POSITIF
McDonald's,2,['delivery'],1,NEGATIF
Thai & Chinese Food,3.5,['delivery'],1,POSITIF
York Shore House,4,['delivery'],2,POSITIF
Salatip Restaurant,3.5,['delivery'],2,POSITIF
Jack in the Box,2.5,['delivery'],1,NEGATIF
Waba Grill,3,"['pickup', 'delivery']",0,NEGATIF
Burger King,2,['delivery'],1,NEGATIF
The Tipsy Moon,5,[],0,POSITIF
Marie Callender's Restaurant & Bakery,2.5,"['delivery', 'pickup']",2,NEGATIF
The Habit Burger Grill,3,['delivery'],2,NEGATIF
Wienerschnitzel,2,['delivery'],1,NEGATIF
Pizza Hut,2.5,"['delivery', 'pickup']",1,NEGATIF
Pan De Vida Taqueria Mexicana,3.5,['delivery'],1,POSITIF
Subway,2.5,"['pickup', 'delivery']",1,NEGATIF
Phebie's Cafe,4,['delivery'],1,POSITIF
Ramen Boy,4.5,['delivery'],2,POSITIF
Denny's,2.5,[],1,NEGATIF
Carl's Jr,2.5,[],1,NEGATIF
Mila's Kusina,4,"['delivery', 'pickup']",1,POSITIF
Blaze Pizza,3.5,[],1,POSITIF
Chipotle Mexican Grill,2.5,['delivery'],1,NEGATIF
Aloha Hawaiian Grill,1,[],0,NEGATIF
Tacos El Superior,2.5,"['delivery', 'pickup']",0,NEGATIF
Domino's Pizza,2,[],1,NEGATIF
A Mexican Grill,4.5,['delivery'],0,POSITIF
Leonardi's Pizza at WINCO,2.5,['delivery'],1,NEGATIF
RocaMar Mexican and Seafood Restaurant,4,['delivery'],2,POSITIF
Gezziny's Pizza,3,"['pickup', 'delivery']",1,NEGATIF
Dickey's Barbecue Pit,2,"['delivery', 'pickup']",2,NEGATIF
Mi Ranchito,3,"['delivery', 'pickup']",1,NEGATIF
IHOP,2.5,"['delivery', 'pickup']",2,NEGATIF
Jack in the Box,2,['delivery'],1,NEGATIF
Challenger Tap House,4,"['delivery', 'pickup']",2,POSITIF
Tokyo Steak Lancaster,3.5,['delivery'],2,POSITIF
Dona Blanca,3,['delivery'],1,NEGATIF
Wienerschnitzel,2,['delivery'],1,NEGATIF
KFC,2,"['delivery', 'pickup']",1,NEGATIF
Hacienda Don Cuco,3,"['pickup', 'delivery']",2,NEGATIF
McDonald's,2,['delivery'],1,NEGATIF
Papa John's Pizza,2.5,"['delivery', 'pickup']",1,NEGATIF
Yoshinoya West Avenue K & 10th St.,3.5,['delivery'],1,POSITIF
Panda Wok,3,"['delivery', 'pickup']",1,NEGATIF
Get Fresh Cafe,4.5,"['pickup', 'delivery']",1,POSITIF
Crazy Otto's Diner,4,['delivery'],2,POSITIF
Mi Ranchito,2.5,"['pickup', 'delivery']",1,NEGATIF
Joey's Restaurant,2,[],0,NEGATIF
bigtuna Japanese Restaurant,3.5,"['pickup', 'delivery']",2,POSITIF
Rubio's,4,"['delivery', 'pickup']",1,POSITIF
Wingstop - Opening Soon,5,[],0,POSITIF
Jamba,2.5,['delivery'],2,NEGATIF
Applebee's Grill + Bar,3,"['delivery', 'pickup']",2,NEGATIF
Mr Beast Burger,2,['delivery'],0,NEGATIF
Tyga Bites,2,[],0,NEGATIF
Chili's,2,[],2,NEGATIF
Thai Cafe,3.5,"['pickup', 'delivery']",2,POSITIF
Crackin' Chicken & Waffles,3,"['pickup', 'delivery']",1,NEGATIF
Saku Saki Sushi,4,['delivery'],2,POSITIF
Subway,2.5,"['pickup', 'delivery']",1,NEGATIF
Coach's,3.5,[],2,POSITIF
Panera Bread,3,"['pickup', 'delivery']",2,NEGATIF
Greenhouse Cafe,3.5,"['pickup', 'delivery']",2,POSITIF
Jersey Mike's Subs,3,"['delivery', 'pickup']",2,NEGATIF
Little Caesars,2,[],1,NEGATIF
El Rincon MX,4.5,"['delivery', 'pickup']",1,POSITIF
661 Poke N Ramen,4,"['pickup', 'delivery']",2,POSITIF
TIME 2 GRUB,3,"['pickup', 'delivery']",0,NEGATIF
Flame Broiler,4,"['pickup', 'delivery']",1,POSITIF
Hot Chili Grill,3,[],1,NEGATIF
Farmer Boys,3,"['pickup', 'delivery']",1,NEGATIF
Primo Burgers No 10,2.5,['delivery'],1,NEGATIF
Ray's  Mom's Café,4,[],0,POSITIF
Familia Barrios Catering,4.5,"['delivery', 'pickup']",0,POSITIF
Go Fusion N Grill,3,[],0,NEGATIF
QD'S Double Barrel BBQ,5,[],2,POSITIF
Stater Bros. Markets,2.5,[],2,NEGATIF
BurgerIM,4,[],0,POSITIF
Subway,5,[],0,POSITIF
Sammy's & Martina's Restaurant,4,[],1,POSITIF
Karen's Kitchen 3,4,"['delivery', 'pickup']",2,POSITIF
BurgerIM,3.5,"['delivery', 'pickup']",0,POSITIF
Sato Sushi,3.5,['delivery'],2,POSITIF
Subway,3.5,"['pickup', 'delivery']",1,POSITIF
Tortilla Grill,4.5,"['pickup', 'delivery']",1,POSITIF
Chinese Bistro,4,['delivery'],1,POSITIF
Hawaiian BBQ,4,['pickup'],1,POSITIF
Nd's Burger,5,"['pickup', 'delivery']",0,POSITIF
Vince's Pasta & Pizza,3.5,[],2,POSITIF
Olga's Naturally California Kitchen,4.5,[],0,POSITIF
El Pollo Loco,2.5,['delivery'],1,NEGATIF
Scramblez Grill & Bar,4,['delivery'],2,POSITIF
Sunflower Cafe,3.5,[],2,POSITIF
El Toreo Far West,3.5,['delivery'],2,POSITIF
Wendy's,2.5,['delivery'],1,NEGATIF
Desert Deli,4.5,"['pickup', 'delivery']",1,POSITIF
McDonald's,1.5,['delivery'],1,NEGATIF
Schooners Patio Grille,3,['delivery'],2,NEGATIF
Burger King,1.5,['delivery'],1,NEGATIF
Taco Bell,2.5,['delivery'],1,NEGATIF
Love Ramen,4.5,"['delivery', 'pickup']",1,POSITIF
Randys Chicken and Waffles,3.5,"['pickup', 'delivery']",2,POSITIF
Del Taco,2,['delivery'],1,NEGATIF
The Kirin Hut,4,"['delivery', 'pickup']",2,POSITIF
Little Caesars Pizza,1.5,[],1,NEGATIF
Jackie’s cafe,4,['delivery'],2,POSITIF
Mi Ranchito,4,"['pickup', 'delivery']",0,POSITIF
Panda Express,2.5,"['delivery', 'pickup']",1,NEGATIF
Carl's Jr,2,[],1,NEGATIF
Wienerschnitzel,2,['delivery'],1,NEGATIF
Submarina California Subs,4,"['pickup', 'delivery']",1,POSITIF
Tom's Famous Family Restaurant,3.5,['delivery'],1,POSITIF
Winchell's Donuts,4,[],1,POSITIF
Captain Tony's Pizza & Pasta Emporium,4,"['delivery', 'pickup']",2,POSITIF
El Toreo West L-10,4,['delivery'],2,POSITIF
Bravery Brewing,4.5,[],2,POSITIF
Xalisco Bar & Grill,4,"['delivery', 'pickup']",0,POSITIF
The Raven's Nest Restaurant & Lounge,4.5,[],2,POSITIF
Big Belly Pizza,4,['delivery'],0,POSITIF
Da Bomb Fish Taco,5,[],0,POSITIF
Papa John's Pizza,3,"['pickup', 'delivery']",1,NEGATIF
Clasico Tacos,4,['delivery'],1,POSITIF
Mi Durango Tex-Mex,4,"['delivery', 'pickup']",1,POSITIF
Primo Burgers,2,['delivery'],1,NEGATIF
The Original Karen's Kitchen,4,"['pickup', 'delivery']",1,POSITIF
Culichi Town - Lancaster,2,[],0,NEGATIF
RigaTony's Pizza & Pasta,4.5,['delivery'],2,POSITIF
Domino's Pizza,3,[],1,NEGATIF
Don Juan Mexican & Seafood,3,['delivery'],2,NEGATIF
Bens Butcher Block,4.5,[],0,POSITIF
Ruben's Bar & Grill,4,['delivery'],1,POSITIF
Best Of Europe,4.5,['pickup'],2,POSITIF
Easy Egg Cafe,4,"['pickup', 'delivery']",2,POSITIF
Broken Bit Steakhouse,4,['delivery'],3,POSITIF
Tacos El Superior,3,"['pickup', 'delivery']",1,NEGATIF
Pizza Hut,2,"['pickup', 'delivery']",1,NEGATIF
Subway,3,"['delivery', 'pickup']",1,NEGATIF
Medrano's Mexican Restaurant,3,"['delivery', 'pickup']",2,NEGATIF
Panda Express,2,"['pickup', 'delivery']",1,NEGATIF
McDonald's,1.5,['delivery'],1,NEGATIF
Tacos El Afro,3.5,"['pickup', 'delivery']",1,POSITIF
Carl's Jr,2,[],1,NEGATIF
Del Taco,2,['delivery'],1,NEGATIF
Little Caesars Pizza,1.5,[],1,NEGATIF
Deep Sea | The Original Poke,4.5,"['delivery', 'pickup']",2,POSITIF
The Rancho Vista Golf Club Grill,3.5,[],2,POSITIF
Fresh Off The Grill Tacos,5,[],0,POSITIF
Speedy Joe's,4,['delivery'],2,POSITIF
Ameci pizza kitchen,4,"['delivery', 'pickup']",0,POSITIF
Dragon Garden,4,['delivery'],1,POSITIF
Buffalo Wild Wings,2.5,['delivery'],2,NEGATIF
Love BBQ & Sushi,3,[],2,NEGATIF
McDonald's,1.5,['delivery'],1,NEGATIF
Fire Island Grill,4,"['pickup', 'delivery']",1,POSITIF
Kaze Sushi,4.5,"['pickup', 'delivery']",2,POSITIF
Sonic Drive-In,2,"['pickup', 'delivery']",1,NEGATIF
Wingstop,3,[],2,NEGATIF
Chelly's Cafe,4,['delivery'],1,POSITIF
Crab N' Spice,3.5,"['delivery', 'pickup']",2,POSITIF
Fresco II,3.5,"['delivery', 'pickup']",2,POSITIF
Panda Express,2.5,"['delivery', 'pickup']",1,NEGATIF
Medrano's Mexican Restaurant - West Palmdale,2.5,"['pickup', 'delivery']",2,NEGATIF
Domino’s Pizza,5,[],0,POSITIF
BJ's Restaurant & Brewhouse,3,['delivery'],2,NEGATIF
Outback Steakhouse,3,[],2,NEGATIF
Big Tuna,3,[],2,NEGATIF
Lemon Leaf Cafe,4,"['delivery', 'pickup']",2,POSITIF
Yard House,3.5,"['pickup', 'delivery']",2,POSITIF
Chinese Gourmet Express,2.5,['delivery'],2,NEGATIF
Claim Jumper Steakhouse & Bar,3,"['delivery', 'pickup']",2,NEGATIF
Red Lobster,3,"['pickup', 'delivery']",2,NEGATIF
Dog Haus Biergarten - Palmdale,4,"['delivery', 'pickup']",2,POSITIF
Fresh Express,1,[],0,NEGATIF
Arby's,3,"['delivery', 'pickup']",1,NEGATIF
Red Robin Gourmet Burgers and Brews,3,"['pickup', 'delivery']",2,NEGATIF
Taco Bell,2.5,['delivery'],1,NEGATIF
Carl's Jr,2,[],1,NEGATIF
Applebee's Grill + Bar,3,"['delivery', 'pickup']",2,NEGATIF
Bad-Ass Breakfast Burritos,3.5,"['pickup', 'delivery']",0,POSITIF
Blaze Pizza,4,[],2,POSITIF
Bad Mutha Clucka,3,"['delivery', 'pickup']",0,NEGATIF
Plant B,5,"['delivery', 'pickup']",0,POSITIF
Chili's,2.5,[],2,NEGATIF
Firehouse Subs,3.5,"['pickup', 'delivery']",1,POSITIF
El Torito,3.5,"['pickup', 'delivery']",2,POSITIF
Jersey Mike's Subs,3.5,"['pickup', 'delivery']",2,POSITIF
Chipotle Mexican Grill,3,['delivery'],1,NEGATIF
Chronic Tacos,3.5,"['delivery', 'pickup']",1,POSITIF
Olives Mediterranean Cafe- Palmdale,4.5,['delivery'],2,POSITIF
Chick-n-Bun,3.5,[],2,POSITIF
Denny's,3,"['pickup', 'delivery']",2,NEGATIF
Taco Bell,2,['delivery'],1,NEGATIF
Original Tommy's World Famous Hamburgers,3,"['pickup', 'delivery']",1,NEGATIF
Olive Garden Italian Restaurant,3.5,[],2,POSITIF
Hot Dog on a Stick,3,"['pickup', 'delivery']",1,NEGATIF
Yoshinoya Avenue P & County Club,3,[],1,NEGATIF
PizzaRev,4,"['delivery', 'pickup']",1,POSITIF
Yoshinoya,3,['delivery'],0,NEGATIF
Jack in the Box,2.5,['delivery'],1,NEGATIF
Wendy's,2,['delivery'],1,NEGATIF
Subway,2.5,"['pickup', 'delivery']",1,NEGATIF
Chick-fil-A,4,['delivery'],1,POSITIF
The Habit Burger Grill,3.5,['delivery'],1,POSITIF
McDonald's,1.5,['delivery'],1,NEGATIF
Mi Ranchito,2.5,"['delivery', 'pickup']",1,NEGATIF
Popeyes Louisiana Kitchen,2,['delivery'],1,NEGATIF
Sharky's Woodfired Mexican Grill,4,['delivery'],2,POSITIF
Daily Donut House & Sandwich,3.5,['delivery'],1,POSITIF
California Fish Grill,4,['delivery'],2,POSITIF
Burger King,1.5,['delivery'],1,NEGATIF
Azteca Mexican Restaurant,4,[],0,POSITIF
Malhi's Indian Cuisine,4.5,"['pickup', 'delivery']",2,POSITIF
Nopgow,3.5,['delivery'],2,POSITIF
Pinkfish Poke,4,"['pickup', 'delivery']",2,POSITIF
The Original Karen's Kitchen,5,[],0,POSITIF
Lu & Pe Mexican Restaurant & Catering,4.5,"['delivery', 'pickup']",1,POSITIF
Shakey's Pizza Parlor,3,['delivery'],2,NEGATIF
Rubio's,4,['delivery'],1,POSITIF
Q and Q Hawaiian BBQ,3.5,['delivery'],1,POSITIF
House Of Kabob,4,"['delivery', 'pickup']",2,POSITIF
Panda Express,2.5,"['pickup', 'delivery']",2,NEGATIF
Bluemaki Sushi,4,[],2,POSITIF
Panera Bread,3,"['delivery', 'pickup']",2,NEGATIF
Harbour Japanese Restaurant,3.5,['delivery'],2,POSITIF
Jamba,2.5,[],2,NEGATIF
Togo's Sandwiches,3,[],1,NEGATIF
Five Guys,3,['delivery'],2,NEGATIF
Cafe Rio Mexican Grill,3,['delivery'],1,NEGATIF
Fourteen Restaurant and Lounge,2.5,[],2,NEGATIF
IHOP,2,"['pickup', 'delivery']",2,NEGATIF
Baracoa Cuban Restaurant,4.5,"['delivery', 'pickup']",2,POSITIF
Boom Boom Chicken,4,['pickup'],2,POSITIF
Gino's Italian Restaurant,4,"['delivery', 'pickup']",2,POSITIF
El Toreo West,3.5,[],2,POSITIF
Sizzler,3,"['delivery', 'pickup']",2,NEGATIF
Alice's Burgers,3.5,['delivery'],1,POSITIF
Asian #1,3,"['delivery', 'pickup']",1,NEGATIF
Karen's Kitchen 2,4,"['delivery', 'pickup']",1,POSITIF
Tom's Famous Family Restaurant 25,3,[],2,NEGATIF
Azteca Mexican Restaurant ,3.5,['delivery'],2,POSITIF
Gezziny's Famous Pizza,4,['delivery'],0,POSITIF
Poke Junction,4.5,"['delivery', 'pickup']",2,POSITIF
Las Originales Bar and Grill,3.5,"['delivery', 'pickup']",2,POSITIF
Subway,3.5,"['delivery', 'pickup']",1,POSITIF
Little Ceasars,2,[],1,NEGATIF
BurgerIM,4,"['delivery', 'pickup']",1,POSITIF
5th Street Bistro,3.5,[],2,POSITIF
Del Taco,2.5,[],1,NEGATIF
Lucky Roxy's Cafe,3.5,"['delivery', 'pickup']",1,POSITIF
Luna's Hot Dogs,5,[],1,POSITIF
Burger King,2,['delivery'],1,NEGATIF
Yoshinoya - Palmdale,4,['delivery'],1,POSITIF
Jamba,3.5,[],1,POSITIF
Wendy's,1.5,['delivery'],0,NEGATIF
IHOP,2.5,"['delivery', 'pickup']",2,NEGATIF
Dragon Garden,3,['delivery'],1,NEGATIF
Subway,4,"['delivery', 'pickup']",1,POSITIF
Love Ramen - Palmdale,4.5,"['delivery', 'pickup']",2,POSITIF
Jon Smith Subs,4.5,"['pickup', 'delivery']",0,POSITIF
Little Caesars Pizza,1.5,[],1,NEGATIF
Food Bowl Chinese Fast Food,4,['delivery'],0,POSITIF
El Pollo Loco,2,['delivery'],1,NEGATIF
Taco Bell,2,['delivery'],1,NEGATIF
Tom's Famous Family Restaurants,3,['delivery'],1,NEGATIF
Gezziny's Famous Pizza,3,"['delivery', 'pickup']",1,NEGATIF
Pizza Hut,2,"['delivery', 'pickup']",1,NEGATIF
Armani's Mediterranean Bakery & Food,4.5,"['pickup', 'delivery']",1,POSITIF
Armani's Mediterranean Cafe,5,"['pickup', 'delivery']",0,POSITIF
Tayta Peruvian Food,5,[],0,POSITIF
Pizza Hut,1.5,"['delivery', 'pickup']",1,NEGATIF
Mi Ranchito,2.5,"['delivery', 'pickup']",1,NEGATIF
Stater Bros. Markets,3,[],2,NEGATIF
Subway,1.5,"['pickup', 'delivery']",1,NEGATIF
McDonald's,1.5,['delivery'],1,NEGATIF
Waffle Kitchen,3.5,"['pickup', 'delivery']",2,POSITIF
Subway,2,[],1,NEGATIF
AA Hawaiian BBQ,4,"['pickup', 'delivery']",0,POSITIF
Taquería La Famosa,3,[],1,NEGATIF
Domino's Pizza,1.5,[],1,NEGATIF
Primo Burgers No 7,4,['delivery'],1,POSITIF
McDonald's,1.5,['delivery'],1,NEGATIF
Panda Express,2,"['pickup', 'delivery']",1,NEGATIF
Wingstop,2,[],0,NEGATIF
Jack in the Box,2.5,['delivery'],1,NEGATIF
Denny's,3.5,"['delivery', 'pickup']",1,POSITIF
USA Tacos,1.5,[],0,NEGATIF
McDonald's,2,['delivery'],1,NEGATIF
Wolf Creek Restaurant,4,['delivery'],2,POSITIF
Wana Iguana Fresh Baja Grill,3.5,"['delivery', 'pickup']",1,POSITIF
Tomato Joe's Pizza Express,4.5,['delivery'],2,POSITIF
Hungry Ninja,3,['delivery'],1,NEGATIF
Pizza Dí Marco - Valencia,3.5,"['delivery', 'pickup']",2,POSITIF
Casa Pasilla,4,"['delivery', 'pickup']",2,POSITIF
Bagel Boyz,4,[],1,POSITIF
Carl's Jr,2.5,"['delivery', 'pickup']",1,NEGATIF
Italia Panetteria & Deli,4.5,['delivery'],2,POSITIF
Eggs N Things,4,['delivery'],2,POSITIF
Domino's Pizza,2.5,[],1,NEGATIF
Aroma Ramen,4,"['delivery', 'pickup']",0,POSITIF
Eat Real Cafe,4,"['delivery', 'pickup']",2,POSITIF
Deep Sea Poke,4,['delivery'],2,POSITIF
Q & Q Hawaiian BBQ,4.5,['delivery'],2,POSITIF
Subway,2.5,"['delivery', 'pickup']",1,NEGATIF
Ad Astra Bakery,5,[],0,POSITIF
Marston's,4,"['pickup', 'delivery']",2,POSITIF
California Pizza Kitchen at Valencia,3,"['pickup', 'delivery']",2,NEGATIF
Rustic Burger House,3.5,['delivery'],2,POSITIF
Kabuki Japanese Restaurant,3.5,"['delivery', 'pickup']",2,POSITIF
Valley Fresh Cafe,4,['delivery'],0,POSITIF
Valley Kabob,4,"['pickup', 'delivery']",2,POSITIF
Panera Bread,2.5,"['pickup', 'delivery']",1,NEGATIF
Sabor Cocina Mexicana,3.5,['delivery'],2,POSITIF
Jack in the Box,3,['delivery'],1,NEGATIF
Coral Dining Room Aboard Caribbean Princess,4,[],0,POSITIF
Wendy's,2.5,['delivery'],1,NEGATIF
Dairy Queen Orange Julius,2,['delivery'],1,NEGATIF
